date,hour,day_of_week,location,count
2024-01-01,0,0,Main Canteen,27
2024-01-01,0,0,AB Block,10
2024-01-01,0,0,Library,15
2024-01-01,0,0,Gate 1 (Main Gate),22
2024-01-01,0,0,Gate 2,11
2024-01-01,0,0,Workshop,15
2024-01-01,0,0,EC Block,11
2024-01-01,0,0,Bus Stop Gate 1,10
2024-01-01,0,0,Bus Stop Gate 2,19
2024-01-01,0,0,Boys Hostel Block A,71
2024-01-01,0,0,Girls Hostel,51
2024-01-01,0,0,Sports Ground,17
2024-01-01,0,0,Admin Block,22
2024-01-01,0,0,Computer Lab,7
2024-01-01,0,0,Medical Centre,13
2024-01-01,1,0,Main Canteen,21
2024-01-01,1,0,AB Block,23
2024-01-01,1,0,Library,9
2024-01-01,1,0,Gate 1 (Main Gate),24
2024-01-01,1,0,Gate 2,29
2024-01-01,1,0,Workshop,5
2024-01-01,1,0,EC Block,19
2024-01-01,1,0,Bus Stop Gate 1,11
2024-01-01,1,0,Bus Stop Gate 2,11
2024-01-01,1,0,Boys Hostel Block A,76
2024-01-01,1,0,Girls Hostel,54
2024-01-01,1,0,Sports Ground,23
2024-01-01,1,0,Admin Block,26
2024-01-01,1,0,Computer Lab,8
2024-01-01,1,0,Medical Centre,22
2024-01-01,2,0,Main Canteen,30
2024-01-01,2,0,AB Block,29
2024-01-01,2,0,Library,16
2024-01-01,2,0,Gate 1 (Main Gate),10
2024-01-01,2,0,Gate 2,24
2024-01-01,2,0,Workshop,10
2024-01-01,2,0,EC Block,26
2024-01-01,2,0,Bus Stop Gate 1,13
2024-01-01,2,0,Bus Stop Gate 2,9
2024-01-01,2,0,Boys Hostel Block A,58
2024-01-01,2,0,Girls Hostel,63
2024-01-01,2,0,Sports Ground,10
2024-01-01,2,0,Admin Block,25
2024-01-01,2,0,Computer Lab,11
2024-01-01,2,0,Medical Centre,26
2024-01-01,3,0,Main Canteen,30
2024-01-01,3,0,AB Block,19
2024-01-01,3,0,Library,8
2024-01-01,3,0,Gate 1 (Main Gate),14
2024-01-01,3,0,Gate 2,28
2024-01-01,3,0,Workshop,5
2024-01-01,3,0,EC Block,14
2024-01-01,3,0,Bus Stop Gate 1,17
2024-01-01,3,0,Bus Stop Gate 2,20
2024-01-01,3,0,Boys Hostel Block A,73
2024-01-01,3,0,Girls Hostel,67
2024-01-01,3,0,Sports Ground,23
2024-01-01,3,0,Admin Block,24
2024-01-01,3,0,Computer Lab,15
2024-01-01,3,0,Medical Centre,26
2024-01-01,4,0,Main Canteen,27
2024-01-01,4,0,AB Block,10
2024-01-01,4,0,Library,20
2024-01-01,4,0,Gate 1 (Main Gate),11
2024-01-01,4,0,Gate 2,15
2024-01-01,4,0,Workshop,9
2024-01-01,4,0,EC Block,19
2024-01-01,4,0,Bus Stop Gate 1,15
2024-01-01,4,0,Bus Stop Gate 2,9
2024-01-01,4,0,Boys Hostel Block A,59
